"序號","分類","學測範圍標記","字母","級別","單字或片語","詞性","中文釋義","中文釋義原文","考題出現次數","來源"
"1","高中英文參考詞彙表","學測核心參考","A","第一級","a","冠詞","一個;一種","[冠詞] 一個;一種","617","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"2","高中英文參考詞彙表","學測核心參考","A","第一級","A.M.","副詞","上午","[副詞] 上午","17","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"3","高中英文參考詞彙表","學測核心參考","A","第四級","abandon","動詞","放棄","[動詞] 放棄","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"4","高中英文參考詞彙表","進階/分科參考","A","第六級","abbreviate","動詞","縮寫","[動詞] 縮寫","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"5","高中英文參考詞彙表","進階/分科參考","A","第六級","abide","動詞","忍受;等候","[動詞] 忍受;等候","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"6","高中英文參考詞彙表","學測核心參考","A","第一級","ability","名詞","能力;專門技能","[名詞] 能力;專門技能","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"7","高中英文參考詞彙表","學測核心參考","A","第一級","able","形容詞","能;有能力的","[形容詞] 能;有能力的","16","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"8","高中英文參考詞彙表","進階/分科參考","A","第五級","abnormal","形容詞","不正常的","[形容詞] 不正常的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"9","高中英文參考詞彙表","學測核心參考","A","第三級","aboard","副詞 / 介系詞","在船(或飛機;車)上;上船(或飛機;車); 上(船,飛機,車);在(船,飛機,車)上","[副詞] 在船(或飛機;車)上;上船(或飛機;車); [介系詞] 上(船,飛機,車);在(船,飛機,車)上","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"10","高中英文參考詞彙表","進階/分科參考","A","第五級","abolish","動詞","廢除;廢止","[動詞] 廢除;廢止","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"11","高中英文參考詞彙表","進階/分科參考","A","第六級","aboriginal","形容詞 / 名詞","土著的;土著居民的; 土著居民; 土生動物(或植物)","[形容詞] 土著的;土著居民的; [名詞] 土著居民; 土生動物(或植物)","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"12","高中英文參考詞彙表","進階/分科參考","A","第五級","abortion","名詞","墮胎","[名詞] 墮胎","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"13","高中英文參考詞彙表","進階/分科參考","A","第六級","abound","動詞","大量存在;富足;充滿","[動詞] 大量存在;富足;充滿","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"14","高中英文參考詞彙表","學測核心參考","A","第一級","about","副詞 / 介系詞","在四周;在附近;大約; 大約;關於","[副詞] 在四周;在附近;大約; [介系詞] 大約;關於","246","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"15","高中英文參考詞彙表","學測核心參考","A","第一級","above","形容詞 / 副詞 / 介系詞","上文的,前述的; 在上面;在上文;更高; 在…之上","[形容詞] 上文的,前述的; [副詞] 在上面;在上文;更高; [介系詞] 在…之上","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"16","高中英文參考詞彙表","學測核心參考","A","第一級","abroad","副詞","在國外","[副詞] 在國外","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"17","高中英文參考詞彙表","進階/分科參考","A","第五級","abrupt","形容詞","突然的;意外的","[形容詞] 突然的;意外的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"18","高中英文參考詞彙表","學測核心參考","A","第二級","absence","名詞","缺席","[名詞] 缺席","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"19","高中英文參考詞彙表","學測核心參考","A","第二級","absent","形容詞 / 動詞","缺席的,不在場的; 缺席","[形容詞] 缺席的,不在場的; [動詞] 缺席","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"20","高中英文參考詞彙表","學測核心參考","A","第四級","absolute","形容詞","絕對的;完全的","[形容詞] 絕對的;完全的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"21","高中英文參考詞彙表","學測核心參考","A","第四級","absorb","動詞","吸收(液體,氣體,光,聲等)","[動詞] 吸收(液體,氣體,光,聲等)","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"22","高中英文參考詞彙表","學測核心參考","A","第四級","abstract","形容詞","抽象的","[形容詞] 抽象的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"23","高中英文參考詞彙表","進階/分科參考","A","第六級","abstraction","名詞","抽象","[名詞] 抽象","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"24","高中英文參考詞彙表","進階/分科參考","A","第五級","absurd","形容詞","荒謬的;愚蠢的","[形容詞] 荒謬的;愚蠢的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"25","高中英文參考詞彙表","進階/分科參考","A","第六級","abundance","名詞","豐富;充足","[名詞] 豐富;充足","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"26","高中英文參考詞彙表","進階/分科參考","A","第五級","abundant","形容詞","大量的;充足的; 豐富的","[形容詞] 大量的;充足的; 豐富的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"27","高中英文參考詞彙表","進階/分科參考","A","第五級","abuse","動詞 / 名詞","濫用;虐待; 濫用;虐待","[動詞] 濫用;虐待; [名詞] 濫用;虐待","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"28","高中英文參考詞彙表","學測核心參考","A","第四級","academic","形容詞","學術的","[形容詞] 學術的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"29","高中英文參考詞彙表","進階/分科參考","A","第六級","academy","名詞","學院;大學;研究院","[名詞] 學院;大學;研究院","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"30","高中英文參考詞彙表","進階/分科參考","A","第五級","accelerate","動詞","加快;增長","[動詞] 加快;增長","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"31","高中英文參考詞彙表","學測核心參考","A","第四級","accent","名詞","重音;腔調","[名詞] 重音;腔調","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"32","高中英文參考詞彙表","學測核心參考","A","第二級","accept","動詞","接受","[動詞] 接受","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"33","高中英文參考詞彙表","學測核心參考","A","第三級","acceptable","形容詞","可以接受的;令人滿意的","[形容詞] 可以接受的;令人滿意的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"34","高中英文參考詞彙表","學測核心參考","A","第四級","acceptance","名詞","接受;領受;(票據等的)承兌,認付","[名詞] 接受;領受;(票據等的)承兌,認付","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"35","高中英文參考詞彙表","學測核心參考","A","第四級","access","動詞 / 名詞","取出(資料);使用;接近; 通道;入口;門路","[動詞] 取出(資料);使用;接近; [名詞] 通道;入口;門路","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"36","高中英文參考詞彙表","進階/分科參考","A","第五級","accessible","形容詞","可(或易)接近的;可(或易)得到的","[形容詞] 可(或易)接近的;可(或易)得到的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"37","高中英文參考詞彙表","進階/分科參考","A","第六級","accessory","形容詞 / 名詞","附加的;附屬的; 附件;配件;從犯","[形容詞] 附加的;附屬的; [名詞] 附件;配件;從犯","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"38","高中英文參考詞彙表","學測核心參考","A","第二級","accident","名詞","事故;災禍","[名詞] 事故;災禍","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"39","高中英文參考詞彙表","學測核心參考","A","第四級","accidental","形容詞","偶然的;意外的","[形容詞] 偶然的;意外的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"40","高中英文參考詞彙表","進階/分科參考","A","第六級","acclaim","動詞 / 名詞","為...喝采;稱讚; 歡呼;讚賞","[動詞] 為...喝采;稱讚; [名詞] 歡呼;讚賞","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"41","高中英文參考詞彙表","進階/分科參考","A","第五級","accommodate","動詞","能容納;能提供...膳宿;給...方便","[動詞] 能容納;能提供...膳宿;給...方便","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"42","高中英文參考詞彙表","進階/分科參考","A","第五級","accommodation","名詞","適應;方便設施;住處","[名詞] 適應;方便設施;住處","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"43","高中英文參考詞彙表","學測核心參考","A","第四級","accompany","動詞","陪同;伴隨","[動詞] 陪同;伴隨","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"44","高中英文參考詞彙表","學測核心參考","A","第四級","accomplish","動詞","完成;實現;達到","[動詞] 完成;實現;達到","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"45","高中英文參考詞彙表","學測核心參考","A","第四級","accomplishment","名詞","成就;成績;造詣;實現","[名詞] 成就;成績;造詣;實現","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"46","高中英文參考詞彙表","進階/分科參考","A","第五級","accord","動詞 / 名詞","(與...)一致;調解; 一致;符合","[動詞] (與...)一致;調解; [名詞] 一致;符合","12","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"47","高中英文參考詞彙表","進階/分科參考","A","第六級","accordance","名詞","一致;和諧;符合","[名詞] 一致;和諧;符合","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"48","高中英文參考詞彙表","進階/分科參考","A","第六級","accordingly","副詞","照著;相應地;因此","[副詞] 照著;相應地;因此","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"49","高中英文參考詞彙表","學測核心參考","A","第二級","account","動詞 / 名詞","把...視為;說明; 帳目;描述","[動詞] 把...視為;說明; [名詞] 帳目;描述","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"50","高中英文參考詞彙表","進階/分科參考","A","第六級","accountable","形容詞","應負責任的;可說明的","[形容詞] 應負責任的;可說明的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"51","高中英文參考詞彙表","學測核心參考","A","第四級","accountant","名詞","會計師","[名詞] 會計師","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"52","高中英文參考詞彙表","進階/分科參考","A","第五級","accounting","名詞","會計;會計學","[名詞] 會計;會計學","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"53","高中英文參考詞彙表","進階/分科參考","A","第六級","accumulate","動詞","累積;積聚","[動詞] 累積;積聚","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"54","高中英文參考詞彙表","進階/分科參考","A","第六級","accumulation","名詞","累積;積聚","[名詞] 累積;積聚","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"55","高中英文參考詞彙表","學測核心參考","A","第四級","accuracy","名詞","正確(性);準確(性)","[名詞] 正確(性);準確(性)","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"56","高中英文參考詞彙表","學測核心參考","A","第三級","accurate","形容詞","準確的","[形容詞] 準確的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"57","高中英文參考詞彙表","進階/分科參考","A","第六級","accusation","名詞","指控;指責","[名詞] 指控;指責","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"58","高中英文參考詞彙表","學測核心參考","A","第四級","accuse","動詞","指控","[動詞] 指控","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"59","高中英文參考詞彙表","進階/分科參考","A","第六級","accustom","動詞","使習慣於","[動詞] 使習慣於","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"60","高中英文參考詞彙表","學測核心參考","A","第三級","ache","動詞 / 名詞","(持續性地)疼痛;渴望; (持續性地)疼痛","[動詞] (持續性地)疼痛;渴望; [名詞] (持續性地)疼痛","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"61","高中英文參考詞彙表","學測核心參考","A","第三級","achieve","動詞","實現","[動詞] 實現","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"62","高中英文參考詞彙表","學測核心參考","A","第三級","achievement","名詞","成就","[名詞] 成就","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"63","高中英文參考詞彙表","學測核心參考","A","第四級","acid","形容詞 / 名詞","酸性的;有酸味的; (化學)酸","[形容詞] 酸性的;有酸味的; [名詞] (化學)酸","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"64","高中英文參考詞彙表","進階/分科參考","A","第五級","acknowledge","動詞","承認;就……表示謝忱","[動詞] 承認;就……表示謝忱","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"65","高中英文參考詞彙表","進階/分科參考","A","第五級","acknowledgement","名詞","承認;確認;致謝;回音;公證狀","[名詞] 承認;確認;致謝;回音;公證狀","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"66","高中英文參考詞彙表","進階/分科參考","A","第六級","acne","名詞","粉刺","[名詞] 粉刺","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"67","高中英文參考詞彙表","進階/分科參考","A","第五級","acquaint","動詞","使認識;使熟悉","[動詞] 使認識;使熟悉","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"68","高中英文參考詞彙表","學測核心參考","A","第四級","acquaintance","名詞","相識的人","[名詞] 相識的人","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"69","高中英文參考詞彙表","學測核心參考","A","第四級","acquire","動詞","取得;獲得","[動詞] 取得;獲得","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"70","高中英文參考詞彙表","進階/分科參考","A","第五級","acquisition","名詞","收購;取得","[名詞] 收購;取得","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"71","高中英文參考詞彙表","進階/分科參考","A","第六級","acre","名詞","英畝","[名詞] 英畝","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"72","高中英文參考詞彙表","學測核心參考","A","第一級","across","副詞 / 介系詞","橫過;寬;在對面;向對面; 橫越;穿過","[副詞] 橫過;寬;在對面;向對面; [介系詞] 橫越;穿過","6","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"73","高中英文參考詞彙表","學測核心參考","A","第一級","act","動詞 / 名詞","扮演; 行動,法案","[動詞] 扮演; [名詞] 行動,法案","3","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"74","高中英文參考詞彙表","學測核心參考","A","第一級","action","名詞","動作","[名詞] 動作","7","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"75","高中英文參考詞彙表","學測核心參考","A","第二級","active","形容詞","活躍的","[形容詞] 活躍的","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"76","高中英文參考詞彙表","進階/分科參考","A","第五級","activist","名詞","激進主義份子;行動主義者","[名詞] 激進主義份子;行動主義者","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"77","高中英文參考詞彙表","學測核心參考","A","第二級","activity","名詞","活動","[名詞] 活動","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"78","高中英文參考詞彙表","學測核心參考","A","第一級","actor","名詞","男演員","[名詞] 男演員","7","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"79","高中英文參考詞彙表","學測核心參考","A","第一級","actress","名詞","女演員","[名詞] 女演員","2","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"80","高中英文參考詞彙表","學測核心參考","A","第二級","actual","形容詞","實際的;事實上的","[形容詞] 實際的;事實上的","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"81","高中英文參考詞彙表","進階/分科參考","A","第五級","acute","形容詞","尖銳的;敏銳的;劇烈的","[形容詞] 尖銳的;敏銳的;劇烈的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"82","高中英文參考詞彙表","學測核心參考","A","第三級","ad","名詞","廣告","[名詞] 廣告","14","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"83","高中英文參考詞彙表","學測核心參考","A","第四級","adapt","動詞","使適應;使適合，改編;改造","[動詞] 使適應;使適合，改編;改造","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"84","高中英文參考詞彙表","進階/分科參考","A","第六級","adaptation","名詞","適應;改寫","[名詞] 適應;改寫","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"85","高中英文參考詞彙表","學測核心參考","A","第一級","add","動詞","添加","[動詞] 添加","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"86","高中英文參考詞彙表","學測核心參考","A","第四級","addict","動詞 / 名詞","使沈溺;使成癮; 入迷的人;有癮的人","[動詞] 使沈溺;使成癮; [名詞] 入迷的人;有癮的人","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"87","高中英文參考詞彙表","進階/分科參考","A","第六級","addiction","名詞","沈溺;上癮","[名詞] 沈溺;上癮","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"88","高中英文參考詞彙表","學測核心參考","A","第二級","addition","名詞","加;附加","[名詞] 加;附加","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"89","高中英文參考詞彙表","學測核心參考","A","第三級","additional","形容詞","附加的;額外的","[形容詞] 附加的;額外的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"90","高中英文參考詞彙表","學測核心參考","A","第二級","address","動詞 / 名詞","寫上收件人姓名地址;向...致詞; 地址; 演說","[動詞] 寫上收件人姓名地址;向...致詞; [名詞] 地址; 演說","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"91","高中英文參考詞彙表","學測核心參考","A","第四級","adequate","形容詞","足夠的","[形容詞] 足夠的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"92","高中英文參考詞彙表","","A","附　錄","adj.","縮寫","形容詞（adjective 的縮寫）","[縮寫] 形容詞（adjective 的縮寫）","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"93","高中英文參考詞彙表","","A","附　錄","adjective","名詞","形容詞","[名詞] 形容詞","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"94","高中英文參考詞彙表","學測核心參考","A","第四級","adjust","動詞","校準;調整;適應","[動詞] 校準;調整;適應","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"95","高中英文參考詞彙表","學測核心參考","A","第四級","adjustment","名詞","調節;調整","[名詞] 調節;調整","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"96","高中英文參考詞彙表","進階/分科參考","A","第六級","administer","動詞","管理;給予;執行","[動詞] 管理;給予;執行","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"97","高中英文參考詞彙表","進階/分科參考","A","第六級","administrate","動詞","管理;支配","[動詞] 管理;支配","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"98","高中英文參考詞彙表","進階/分科參考","A","第五級","administration","名詞","管理;經營;管理部門","[名詞] 管理;經營;管理部門","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"99","高中英文參考詞彙表","進階/分科參考","A","第五級","administrative","形容詞","管理的;行政的","[形容詞] 管理的;行政的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"100","高中英文參考詞彙表","進階/分科參考","A","第五級","administrator","名詞","管理人;行政官員","[名詞] 管理人;行政官員","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"101","高中英文參考詞彙表","學測核心參考","A","第四級","admirable","形容詞","值得讚揚的;絕妙的","[形容詞] 值得讚揚的;絕妙的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"102","高中英文參考詞彙表","進階/分科參考","A","第六級","admiral","名詞","艦隊司令; 海軍上將","[名詞] 艦隊司令; 海軍上將","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"103","高中英文參考詞彙表","學測核心參考","A","第四級","admiration","名詞","欽佩;羨慕","[名詞] 欽佩;羨慕","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"104","高中英文參考詞彙表","學測核心參考","A","第三級","admire","動詞","欽佩;欣賞","[動詞] 欽佩;欣賞","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"105","高中英文參考詞彙表","學測核心參考","A","第四級","admission","名詞","進入許可;入場費;承認","[名詞] 進入許可;入場費;承認","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"106","高中英文參考詞彙表","學測核心參考","A","第二級","admit","動詞","承認;准許進入;可容納","[動詞] 承認;准許進入;可容納","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"107","高中英文參考詞彙表","進階/分科參考","A","第六級","adolescence","名詞","青春期","[名詞] 青春期","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"108","高中英文參考詞彙表","進階/分科參考","A","第五級","adolescent","形容詞 / 名詞","青少年的;未成熟的; 青少年","[形容詞] 青少年的;未成熟的; [名詞] 青少年","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"109","高中英文參考詞彙表","學測核心參考","A","第四級","adopt","動詞","採納;收養;接受","[動詞] 採納;收養;接受","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"110","高中英文參考詞彙表","進階/分科參考","A","第五級","adore","動詞","崇拜;愛慕","[動詞] 崇拜;愛慕","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"111","高中英文參考詞彙表","學測核心參考","A","第二級","adult","形容詞 / 名詞","成年的;成熟的;色情的; 成年人","[形容詞] 成年的;成熟的;色情的; [名詞] 成年人","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"112","高中英文參考詞彙表","","A","附　錄","adv.","縮寫","副詞（adverb 的縮寫）","[縮寫] 副詞（adverb 的縮寫）","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"113","高中英文參考詞彙表","學測核心參考","A","第二級","advance","動詞 / 名詞","使發展;促進;提升;貸(款); 前進;發展;預付","[動詞] 使發展;促進;提升;貸(款); [名詞] 前進;發展;預付","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"114","高中英文參考詞彙表","學測核心參考","A","第三級","advanced","形容詞","先進的;高等的","[形容詞] 先進的;高等的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"115","高中英文參考詞彙表","學測核心參考","A","第三級","advantage","名詞","優點,優勢;利益","[名詞] 優點,優勢;利益","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"116","高中英文參考詞彙表","學測核心參考","A","第三級","adventure","名詞","冒險;冒險活動","[名詞] 冒險;冒險活動","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"117","高中英文參考詞彙表","","A","附　錄","adverb","名詞","副詞","[名詞] 副詞","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"118","高中英文參考詞彙表","進階/分科參考","A","第五級","adverse","形容詞","逆向的;相反的;負面的；有害的","[形容詞] 逆向的;相反的;負面的；有害的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"119","高中英文參考詞彙表","學測核心參考","A","第三級","advertise","動詞","為...做廣告;公佈","[動詞] 為...做廣告;公佈","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"120","高中英文參考詞彙表","學測核心參考","A","第三級","advertisement","名詞","廣告","[名詞] 廣告","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"121","高中英文參考詞彙表","學測核心參考","A","第二級","advice","名詞","忠告","[名詞] 忠告","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"122","高中英文參考詞彙表","學測核心參考","A","第三級","advise","動詞","勸告","[動詞] 勸告","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
