"序號","分類","字母","級別","單字或片語","詞性","中文釋義","中文釋義原文","考題出現次數","來源"
"1","國中會考英文常用2000字詞","A","基本1200","a","冠詞","一個;一種","[冠詞] 一個;一種","548","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"2","國中會考英文常用2000字詞","A","基本1200","a few","片語","一些","[片語] 一些","16","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"3","國中會考英文常用2000字詞","A","基本1200","a little","片語","一點點","[片語] 一點點","24","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"4","國中會考英文常用2000字詞","A","基本1200","a lot","片語","很多","[片語] 很多","76","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"5","國中會考英文常用2000字詞","A","基本1200","A.M.","副詞","上午","[副詞] 上午","17","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"6","國中會考英文常用2000字詞","A","基本1200","able","形容詞","能;有能力的","[形容詞] 能;有能力的","16","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"7","國中會考英文常用2000字詞","A","基本1200","about","副詞 / 介系詞","在四周;在附近;大約; 大約;關於","[副詞] 在四周;在附近;大約; [介系詞] 大約;關於","230","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"8","國中會考英文常用2000字詞","A","基本1200","above","形容詞 / 副詞 / 介系詞","上文的,前述的; 在上面;在上文;更高; 在…之上","[形容詞] 上文的,前述的; [副詞] 在上面;在上文;更高; [介系詞] 在…之上","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"9","國中會考英文常用2000字詞","A","基本1200","abroad","副詞","在國外","[副詞] 在國外","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"10","國中會考英文常用2000字詞","A","常用800","absent","形容詞 / 動詞","缺席的,不在場的; 缺席","[形容詞] 缺席的,不在場的; [動詞] 缺席","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"11","國中會考英文常用2000字詞","A","常用800","accept","動詞","接受","[動詞] 接受","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"12","國中會考英文常用2000字詞","A","常用800","accident","名詞","事故;災禍","[名詞] 事故;災禍","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"13","國中會考英文常用2000字詞","A","基本1200","across","副詞 / 介系詞","橫過;寬;在對面;向對面; 橫越;穿過","[副詞] 橫過;寬;在對面;向對面; [介系詞] 橫越;穿過","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"14","國中會考英文常用2000字詞","A","基本1200","act","動詞 / 名詞","扮演; 行動,法案","[動詞] 扮演; [名詞] 行動,法案","3","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"15","國中會考英文常用2000字詞","A","基本1200","action","名詞","動作","[名詞] 動作","7","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"16","國中會考英文常用2000字詞","A","常用800","active","形容詞","活躍的","[形容詞] 活躍的","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"17","國中會考英文常用2000字詞","A","常用800","activity","名詞","活動","[名詞] 活動","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"18","國中會考英文常用2000字詞","A","基本1200","actor","名詞","男演員","[名詞] 男演員","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"19","國中會考英文常用2000字詞","A","基本1200","actress","名詞","女演員","[名詞] 女演員","2","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"20","國中會考英文常用2000字詞","A","基本1200","actually","副詞","實際上","[副詞] 實際上","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"21","國中會考英文常用2000字詞","A","常用800","add","動詞","添加","[動詞] 添加","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"22","國中會考英文常用2000字詞","A","常用800","address","動詞 / 名詞","寫上收件人姓名地址;向...致詞; 地址; 演說","[動詞] 寫上收件人姓名地址;向...致詞; [名詞] 地址; 演說","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"23","國中會考英文常用2000字詞","A","常用800","admire","動詞","欽佩;欣賞","[動詞] 欽佩;欣賞","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"24","國中會考英文常用2000字詞","A","常用800","adult","形容詞 / 名詞","成年的;成熟的;色情的; 成年人","[形容詞] 成年的;成熟的;色情的; [名詞] 成年人","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"25","國中會考英文常用2000字詞","A","常用800","advertisement","名詞","廣告","[名詞] 廣告","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"26","國中會考英文常用2000字詞","A","常用800","advice","名詞","忠告","[名詞] 忠告","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"27","國中會考英文常用2000字詞","A","常用800","advise","動詞","勸告","[動詞] 勸告","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"28","國中會考英文常用2000字詞","A","常用800","affect","動詞","影響；感染；打動","[動詞] 影響；感染；打動","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"29","國中會考英文常用2000字詞","A","基本1200","afraid","形容詞","害怕","[形容詞] 害怕","28","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"30","國中會考英文常用2000字詞","A","基本1200","after","副詞 / 介系詞 / 連接詞","以後,之後;在後面,隨後; 在…之後; 在...之後","[副詞] 以後,之後;在後面,隨後; [介系詞] 在…之後; [連接詞] 在...之後","114","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"31","國中會考英文常用2000字詞","A","基本1200","afternoon","名詞","下午;午後","[名詞] 下午;午後","28","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"32","國中會考英文常用2000字詞","A","基本1200","again","副詞","再一次","[副詞] 再一次","41","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"33","國中會考英文常用2000字詞","A","常用800","against","介系詞","反對","[介系詞] 反對","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"34","國中會考英文常用2000字詞","A","基本1200","age","動詞 / 名詞","使變老;使(酒之)味道變醇;使成熟; 年齡","[動詞] 使變老;使(酒之)味道變醇;使成熟; [名詞] 年齡","15","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"35","國中會考英文常用2000字詞","A","基本1200","ago","副詞","以前","[副詞] 以前","38","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"36","國中會考英文常用2000字詞","A","基本1200","agree","動詞","同意","[動詞] 同意","8","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"37","國中會考英文常用2000字詞","A","基本1200","ahead","副詞","在前;向前;預先;事前","[副詞] 在前;向前;預先;事前","3","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"38","國中會考英文常用2000字詞","A","常用800","aim","動詞 / 名詞","瞄準,對準; 目標,目的","[動詞] 瞄準,對準; [名詞] 目標,目的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"39","國中會考英文常用2000字詞","A","基本1200","air","名詞","空氣","[名詞] 空氣","11","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"40","國中會考英文常用2000字詞","A","常用800","air conditioner","名詞","冷氣機","[名詞] 冷氣機","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"41","國中會考英文常用2000字詞","A","常用800","airlines","名詞","航線, 航空公司","[名詞] 航線, 航空公司","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"42","國中會考英文常用2000字詞","A","基本1200","airplane","名詞","飛機","[名詞] 飛機","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"43","國中會考英文常用2000字詞","A","基本1200","airport","名詞","飛機場","[名詞] 飛機場","7","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"44","國中會考英文常用2000字詞","A","常用800","alarm","動詞 / 名詞","向...報警;使驚慌不安; 警鈴;警報;驚慌","[動詞] 向...報警;使驚慌不安; [名詞] 警鈴;警報;驚慌","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"45","國中會考英文常用2000字詞","A","常用800","album","名詞","相簿;集郵簿;唱片集","[名詞] 相簿;集郵簿;唱片集","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"46","國中會考英文常用2000字詞","A","常用800","alike","形容詞 / 副詞","相似的; 一樣地,相似地","[形容詞] 相似的; [副詞] 一樣地,相似地","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"47","國中會考英文常用2000字詞","A","常用800","alive","形容詞","活著的;活躍的","[形容詞] 活著的;活躍的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"48","國中會考英文常用2000字詞","A","基本1200","all","形容詞 / 副詞 / 名詞 / 代名詞","所有的;全部; 完全地;(比分等)雙方相等; 全體,一切;全部財產; 一切","[形容詞] 所有的;全部; [副詞] 完全地;(比分等)雙方相等; [名詞] 全體,一切;全部財產; [代名詞] 一切","139","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"49","國中會考英文常用2000字詞","A","基本1200","allow","動詞","允許","[動詞] 允許","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"50","國中會考英文常用2000字詞","A","基本1200","almost","副詞","幾乎","[副詞] 幾乎","28","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"51","國中會考英文常用2000字詞","A","常用800","alone","形容詞 / 副詞","單獨的;孤單的; 單獨地;獨自地","[形容詞] 單獨的;孤單的; [副詞] 單獨地;獨自地","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"52","國中會考英文常用2000字詞","A","基本1200","along","副詞 / 介系詞","向前;一起;帶著;來到;去到; 沿著","[副詞] 向前;一起;帶著;來到;去到; [介系詞] 沿著","17","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"53","國中會考英文常用2000字詞","A","常用800","aloud","副詞","大聲地","[副詞] 大聲地","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"54","國中會考英文常用2000字詞","A","常用800","alphabet","名詞","字母","[名詞] 字母","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"55","國中會考英文常用2000字詞","A","基本1200","already","副詞","已經","[副詞] 已經","33","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"56","國中會考英文常用2000字詞","A","基本1200","also","副詞","也","[副詞] 也","75","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"57","國中會考英文常用2000字詞","A","基本1200","although","連接詞","雖然","[連接詞] 雖然","14","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"58","國中會考英文常用2000字詞","A","常用800","altogether","副詞","完全地;總共","[副詞] 完全地;總共","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"59","國中會考英文常用2000字詞","A","基本1200","always","副詞","總是","[副詞] 總是","74","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"60","國中會考英文常用2000字詞","A","基本1200","am","動詞","是,在;  be 動詞第一人稱,單數,現在式","[動詞] 是,在;  be 動詞第一人稱,單數,現在式","265","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"61","國中會考英文常用2000字詞","A","常用800","ambulance","名詞","救護車","[名詞] 救護車","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"62","國中會考英文常用2000字詞","A","基本1200","America","名詞","美國;美洲","[名詞] 美國;美洲","10","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"63","國中會考英文常用2000字詞","A","基本1200","American","形容詞 / 名詞","美國的;美洲的; 美國人","[形容詞] 美國的;美洲的; [名詞] 美國人","16","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"64","國中會考英文常用2000字詞","A","常用800","among","介系詞","在...之中","[介系詞] 在...之中","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"65","國中會考英文常用2000字詞","A","常用800","amount","動詞 / 名詞","合計,共計; 總數","[動詞] 合計,共計; [名詞] 總數","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"66","國中會考英文常用2000字詞","A","基本1200","an","冠詞","一個;一種","[冠詞] 一個;一種","97","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"67","國中會考英文常用2000字詞","A","常用800","ancient","形容詞","古代的","[形容詞] 古代的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"68","國中會考英文常用2000字詞","A","基本1200","and","連接詞","和；及；而；就","[連接詞] 和；及；而；就","483","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"69","國中會考英文常用2000字詞","A","常用800","angel","名詞","天使","[名詞] 天使","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"70","國中會考英文常用2000字詞","A","常用800","anger","名詞","生氣","[名詞] 生氣","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"71","國中會考英文常用2000字詞","A","基本1200","angle","名詞","角,邊角；角度；觀點,立場","[名詞] 角,邊角；角度；觀點,立場","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"72","國中會考英文常用2000字詞","A","基本1200","angry","形容詞","生氣的","[形容詞] 生氣的","20","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"73","國中會考英文常用2000字詞","A","基本1200","animal","名詞","動物","[名詞] 動物","31","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"74","國中會考英文常用2000字詞","A","常用800","ankle","名詞","腳踝","[名詞] 腳踝","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"75","國中會考英文常用2000字詞","A","基本1200","another","形容詞 / 代名詞","另一個; 另一個","[形容詞] 另一個; [代名詞] 另一個","40","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"76","國中會考英文常用2000字詞","A","基本1200","answer","動詞 / 名詞","回答; 答案","[動詞] 回答; [名詞] 答案","81","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"77","國中會考英文常用2000字詞","A","基本1200","ant","名詞","螞蟻","[名詞] 螞蟻","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"78","國中會考英文常用2000字詞","A","基本1200","any","形容詞 / 副詞 / 代名詞","任何的; (用於疑問句,否定句,if子句中)少許,稍微; 任何一個","[形容詞] 任何的; [副詞] (用於疑問句,否定句,if子句中)少許,稍微; [代名詞] 任何一個","81","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"79","國中會考英文常用2000字詞","A","基本1200","anybody","代名詞","任何人","[代名詞] 任何人","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"80","國中會考英文常用2000字詞","A","基本1200","anyone","代名詞","任何人","[代名詞] 任何人","18","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"81","國中會考英文常用2000字詞","A","基本1200","anything","代名詞","任何事物","[代名詞] 任何事物","34","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"82","國中會考英文常用2000字詞","A","常用800","anywhere","副詞","任何地方","[副詞] 任何地方","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"83","國中會考英文常用2000字詞","A","基本1200","apartment","名詞","公寓","[名詞] 公寓","14","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"84","國中會考英文常用2000字詞","A","常用800","apologize","動詞","道歉","[動詞] 道歉","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"85","國中會考英文常用2000字詞","A","基本1200","appear","動詞","出現","[動詞] 出現","12","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"86","國中會考英文常用2000字詞","A","基本1200","apple","名詞","蘋果","[名詞] 蘋果","8","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"87","國中會考英文常用2000字詞","A","常用800","appreciate","動詞","感謝;賞識","[動詞] 感謝;賞識","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"88","國中會考英文常用2000字詞","A","基本1200","April","名詞","四月","[名詞] 四月","7","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"89","國中會考英文常用2000字詞","A","基本1200","are","動詞","是,在;  be 動詞第一、第三人稱, 複數, 現在式; 第二人稱，單、複數, 現在式","[動詞] 是,在;  be 動詞第一、第三人稱, 複數, 現在式; 第二人稱，單、複數, 現在式","351","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"90","國中會考英文常用2000字詞","A","基本1200","area","名詞","地區;面積","[名詞] 地區;面積","2","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"91","國中會考英文常用2000字詞","A","基本1200","aren't","縮短形","are not","[縮短形] are not","7","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"92","國中會考英文常用2000字詞","A","常用800","argue","動詞","爭論","[動詞] 爭論","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"93","國中會考英文常用2000字詞","A","基本1200","arm","動詞 / 名詞","用武器裝備;提供,配備; 武裝起來; 手臂;（衣服）袖子；（椅子的）扶手，靠手","[動詞] 用武器裝備;提供,配備; 武裝起來; [名詞] 手臂;（衣服）袖子；（椅子的）扶手，靠手","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"94","國中會考英文常用2000字詞","A","常用800","armchair","名詞","扶手椅子","[名詞] 扶手椅子","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"95","國中會考英文常用2000字詞","A","常用800","army","名詞","軍隊;大群","[名詞] 軍隊;大群","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"96","國中會考英文常用2000字詞","A","基本1200","around","副詞 / 介系詞","到處,四處;周圍,附近;環繞;大約; 差不多;環繞","[副詞] 到處,四處;周圍,附近;環繞;大約; [介系詞] 差不多;環繞","38","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"97","國中會考英文常用2000字詞","A","常用800","arrange","動詞","排列;整理","[動詞] 排列;整理","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"98","國中會考英文常用2000字詞","A","基本1200","arrive","動詞","到達","[動詞] 到達","16","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"99","國中會考英文常用2000字詞","A","基本1200","art","名詞","藝術","[名詞] 藝術","18","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"100","國中會考英文常用2000字詞","A","常用800","artist","名詞","藝術家","[名詞] 藝術家","2","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"101","國中會考英文常用2000字詞","A","基本1200","as","副詞 / 介系詞 / 連接詞 / 代名詞","跟...一樣地,同樣地;如同;例如; 以…的身份；作為; 依照;當...時; 與...相同的事物(或人);本情況,該事實","[副詞] 跟...一樣地,同樣地;如同;例如; [介系詞] 以…的身份；作為; [連接詞] 依照;當...時; [代名詞] 與...相同的事物(或人);本情況,該事實","75","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"102","國中會考英文常用2000字詞","A","基本1200","ask","動詞","問","[動詞] 問","86","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"103","國中會考英文常用2000字詞","A","常用800","asleep","形容詞","睡著的","[形容詞] 睡著的","2","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"104","國中會考英文常用2000字詞","A","常用800","assistant","形容詞 / 名詞","助理的;輔助的;有幫助的; 助手","[形容詞] 助理的;輔助的;有幫助的; [名詞] 助手","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"105","國中會考英文常用2000字詞","A","常用800","assume","動詞","假定","[動詞] 假定","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"106","國中會考英文常用2000字詞","A","基本1200","at","介系詞","在","[介系詞] 在","295","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"107","國中會考英文常用2000字詞","A","基本1200","attack","動詞 / 名詞","進攻;襲擊; 攻擊","[動詞] 進攻;襲擊; [名詞] 攻擊","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"108","國中會考英文常用2000字詞","A","常用800","attention","名詞","注意;專心","[名詞] 注意;專心","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"109","國中會考英文常用2000字詞","A","基本1200","August","名詞","八月","[名詞] 八月","8","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"110","國中會考英文常用2000字詞","A","基本1200","aunt","名詞","姨媽;姑媽","[名詞] 姨媽;姑媽","7","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"111","國中會考英文常用2000字詞","A","基本1200","autumn","名詞","秋天;秋季","[名詞] 秋天;秋季","3","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"112","國中會考英文常用2000字詞","A","常用800","available","形容詞","可用的,可得到的,有效的","[形容詞] 可用的,可得到的,有效的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"113","國中會考英文常用2000字詞","A","常用800","avoid","動詞","避免","[動詞] 避免","7","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"114","國中會考英文常用2000字詞","A","基本1200","away","形容詞 / 副詞","不在的; 離開","[形容詞] 不在的; [副詞] 離開","55","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"115","國中會考英文常用2000字詞","B","基本1200","baby","名詞","嬰兒","[名詞] 嬰兒","20","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"116","國中會考英文常用2000字詞","B","常用800","baby sitter","名詞","替人看小孩者","[名詞] 替人看小孩者","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"117","國中會考英文常用2000字詞","B","基本1200","back","形容詞 / 動詞 / 副詞 / 名詞","後面的;拖欠的;過去的; 向後;追溯;回覆;贊助; 回原處; 背部;後面","[形容詞] 後面的;拖欠的;過去的; [動詞] 向後;追溯;回覆;贊助; [副詞] 回原處; [名詞] 背部;後面","79","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"118","國中會考英文常用2000字詞","B","常用800","backpack","動詞 / 名詞","把...放入背包; 背負簡便行李旅行; 背包","[動詞] 把...放入背包; 背負簡便行李旅行; [名詞] 背包","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"119","國中會考英文常用2000字詞","B","常用800","backward","形容詞 / 副詞","向後的;落後的; 向後地;落後地","[形容詞] 向後的;落後的; [副詞] 向後地;落後地","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"120","國中會考英文常用2000字詞","B","基本1200","bad","形容詞","壞的","[形容詞] 壞的","47","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"121","國中會考英文常用2000字詞","B","基本1200","badminton","名詞","羽毛球","[名詞] 羽毛球","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"122","國中會考英文常用2000字詞","B","基本1200","bag","名詞","袋子","[名詞] 袋子","21","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"123","國中會考英文常用2000字詞","B","基本1200","bake","動詞","烘;烤","[動詞] 烘;烤","6","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"124","國中會考英文常用2000字詞","B","基本1200","bakery","名詞","麵包店","[名詞] 麵包店","6","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"125","國中會考英文常用2000字詞","B","基本1200","balcony","名詞","陽臺","[名詞] 陽臺","3","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"126","國中會考英文常用2000字詞","B","常用800","ball","動詞 / 名詞","使成球形; 呈球狀; 球","[動詞] 使成球形; 呈球狀; [名詞] 球","10","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"127","國中會考英文常用2000字詞","B","常用800","balloon","動詞 / 名詞","像氣球般鼓起(或膨脹);乘氣球上升;激增; 汽球","[動詞] 像氣球般鼓起(或膨脹);乘氣球上升;激增; [名詞] 汽球","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
